trans1,"['A Beginner’s Guide', 'Java: The Complete Reference', 'Java For Dummies', 'Android Programming: The Big Nerd Ranch']"
trans2,"['A Beginner’s Guide', 'Java: The Complete Reference', 'Java For Dummies']"
trans3,"['A Beginner’s Guide', 'Java: The Complete Reference', 'Java For Dummies', 'Android Programming: The Big Nerd Ranch', 'Head First Java 2nd Edition']"
trans4,"['Android Programming: The Big Nerd Ranch', 'Head First Java 2nd Edition', 'Beginning Programming with Java']"
trans5,"['Android Programming: The Big Nerd Ranch', 'Beginning Programming with Java', 'Java 8 Pocket Guide']"
trans6,"['A Beginner’s Guide', 'Android Programming: The Big Nerd Ranch', 'Head First Java 2nd Edition']"
trans7,"['A Beginner’s Guide', 'Head First Java 2nd Edition', 'Beginning Programming with Java']"
trans8,"['Java: The Complete Reference', 'Java For Dummies', 'Android Programming: The Big Nerd Ranch']"
trans9,"['Java For Dummies', 'Android Programming: The Big Nerd Ranch', 'Head First Java 2nd Edition', 'Beginning Programming with Java']"
trans10,"['Beginning Programming with Java', 'Java 8 Pocket Guide', 'C++ Programming in Easy Steps']"
trans11,"['A Beginner’s Guide', 'Java: The Complete Reference', 'Java For Dummies', 'Android Programming: The Big Nerd Ranch']"
trans12,"['A Beginner’s Guide', 'Java: The Complete Reference', 'Java For Dummies', 'HTML and CSS: Design and Build Websites']"
trans13,"['A Beginner’s Guide', 'Java: The Complete Reference', 'Java For Dummies', 'Java 8 Pocket Guide', 'HTML and CSS: Design and Build Websites']"
trans14,"['Java For Dummies', 'Android Programming: The Big Nerd Ranch', 'Head First Java 2nd Edition']"
trans15,"['Java For Dummies', 'Android Programming: The Big Nerd Ranch']"
trans16,"['A Beginner’s Guide', 'Java: The Complete Reference', 'Java For Dummies', 'Android Programming: The Big Nerd Ranch']"
trans17,"['A Beginner’s Guide', 'Java: The Complete Reference', 'Java For Dummies', 'Android Programming: The Big Nerd Ranch']"
trans18,"['Head First Java 2nd Edition', 'Beginning Programming with Java', 'Java 8 Pocket Guide']"
trans19,"['Android Programming: The Big Nerd Ranch', 'Head First Java 2nd Edition']"
trans20,"['A Beginner’s Guide', 'Java: The Complete Reference', 'Java For Dummies']"
